SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,GRADE GROUP,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,SUM_HOMELESS,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2016-2017,108913118,21ST CENTURY EARLY LEARNING FOUNDA,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,303,0,0,126,55,0,301,303,198,0,-9999999,35,0,0
STATE,CAMPUS,2016-2017,108902006,3D ACADEMY,HIGH SCHOOL,108902,DONNA ISD,1,108,HIDALGO COUNTY,161,0,0,72,0,70,156,161,161,0,0,11,-9999999,-9999999
STATE,CAMPUS,2016-2017,116905108,6TH GRADE CENTER,MIDDLE SCHOOL,116905,GREENVILLE ISD,8,116,HUNT COUNTY,376,59,0,110,0,107,269,376,242,0,0,42,12,40
STATE,CAMPUS,2016-2017,21901001,A & M CONS H S,HIGH SCHOOL,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,1742,264,1159,75,0,70,654,0,574,-9999999,0,128,24,70
STATE,CAMPUS,2016-2017,21901042,A & M CONSOLIDATED MIDDLE,JUNIOR HIGH SCHOOL,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,909,138,229,65,5,61,423,0,260,0,0,93,7,39
STATE,CAMPUS,2016-2017,77901101,A B DUNCAN EL,ELEMENTARY,77901,FLOYDADA ISD,17,77,FLOYD COUNTY,472,7,0,55,0,51,381,472,290,-9999999,-9999999,36,6,20
STATE,CAMPUS,2016-2017,147903103,A B MCBAY EL,ELEMENTARY,147903,MEXIA ISD,12,147,LIMESTONE COUNTY,487,-9999999,0,117,70,43,392,487,258,5,-9999999,43,12,7
STATE,CAMPUS,2016-2017,205901041,A C BLUNT MIDDLE,MIDDLE SCHOOL,205901,ARANSAS PASS ISD,2,205,SAN PATRICIO COUNTY,428,15,0,28,0,25,317,428,275,-9999999,-9999999,44,-9999999,22
STATE,CAMPUS,2016-2017,13901001,A C JONES H S,HIGH SCHOOL,13901,BEEVILLE ISD,2,13,BEE COUNTY,1037,54,854,15,0,-9999999,654,1037,712,0,-9999999,97,-9999999,17
STATE,CAMPUS,2016-2017,116908101,A E BUTLER INT,ELEMENTARY,116908,QUINLAN ISD,10,116,HUNT COUNTY,568,30,0,75,0,74,389,0,322,7,-9999999,73,9,27
