SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2014-2015,108902006,3D ACADEMY,108902,DONNA ISD,1,108,HIDALGO COUNTY,87,0,21,6,0,6,74,87,87,0,0,5,0
STATE,CAMPUS,2014-2015,116905108,6TH GRADE CENTER,116905,GREENVILLE ISD,10,116,HUNT COUNTY,318,33,0,93,0,92,229,317,198,0,0,40,27
STATE,CAMPUS,2014-2015,21901001,A & M CONS H S,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,1747,230,1053,57,0,48,581,0,534,-9999999,0,139,68
STATE,CAMPUS,2014-2015,21901042,A & M CONSOLIDATED MIDDLE,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,903,144,294,46,-9999999,46,378,0,220,-9999999,0,89,44
STATE,CAMPUS,2014-2015,77901101,A B DUNCAN EL,77901,FLOYDADA ISD,17,77,FLOYD COUNTY,468,9,0,40,0,37,381,468,266,6,-9999999,27,22
STATE,CAMPUS,2014-2015,147903103,A B MCBAY EL,147903,MEXIA ISD,12,147,LIMESTONE COUNTY,675,10,0,181,142,39,548,675,349,0,-9999999,54,6
STATE,CAMPUS,2014-2015,205901041,A C BLUNT MIDDLE,205901,ARANSAS PASS ISD,2,205,SAN PATRICIO COUNTY,423,20,0,24,0,24,310,423,262,-9999999,0,48,22
STATE,CAMPUS,2014-2015,13901001,A C JONES H S,13901,BEEVILLE ISD,2,13,BEE COUNTY,970,82,816,12,0,9,581,969,633,0,9,74,6
STATE,CAMPUS,2014-2015,116908101,A E BUTLER INT,116908,QUINLAN ISD,10,116,HUNT COUNTY,509,30,0,57,0,56,370,0,272,-9999999,-9999999,74,23
STATE,CAMPUS,2014-2015,126905103,A G ELDER EL,126905,JOSHUA ISD,11,126,JOHNSON COUNTY,546,14,0,100,60,37,298,544,244,6,-9999999,51,26
STATE,CAMPUS,2014-2015,15904042,A LEAL JR MIDDLE,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,804,55,348,179,31,136,762,804,597,-9999999,0,77,62
STATE,CAMPUS,2014-2015,170908104,A M AIKIN EL,170908,NEW CANEY ISD,6,170,MONTGOMERY COUNTY,593,30,0,396,382,32,487,593,482,0,7,40,22
STATE,CAMPUS,2014-2015,108902104,A M OCHOA EL,108902,DONNA ISD,1,108,HIDALGO COUNTY,429,43,0,191,185,0,392,429,309,-9999999,0,33,0
STATE,CAMPUS,2014-2015,220905153,A M PATE EL,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,496,15,0,132,0,130,464,496,346,0,0,34,-9999999
STATE,CAMPUS,2014-2015,57905003,A MACEO SMITH NEW TECH H S,57905,DALLAS ISD,10,57,DALLAS COUNTY,435,98,434,59,0,52,354,435,229,-9999999,0,13,-9999999
STATE,CAMPUS,2014-2015,108913113,A N RICO ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,861,39,0,376,369,0,758,861,677,5,0,52,9
STATE,CAMPUS,2014-2015,20905102,A P BEUTEL EL,20905,BRAZOSPORT ISD,4,20,BRAZORIA COUNTY,539,51,0,34,-9999999,32,182,539,150,6,-9999999,50,-9999999
STATE,CAMPUS,2014-2015,108902045,A P SOLIS MIDDLE,108902,DONNA ISD,1,108,HIDALGO COUNTY,735,67,112,319,0,316,660,735,539,0,0,65,-9999999
STATE,CAMPUS,2014-2015,220917101,A V CATO EL,220917,CASTLEBERRY ISD,11,220,TARRANT COUNTY,805,35,0,321,220,101,674,805,622,-9999999,-9999999,48,-9999999
STATE,CAMPUS,2014-2015,57816102,A W BROWN - F L A EARLY CHILDHOOD,57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,57,DALLAS COUNTY,1280,0,0,10,0,10,1133,1280,929,0,0,23,0
STATE,CAMPUS,2014-2015,57829001,A+ ACADEMY,57829,A+ ACADEMY,10,57,DALLAS COUNTY,975,39,312,367,301,62,914,975,709,-9999999,0,110,22
STATE,CAMPUS,2014-2015,146902007,AAEP (ACADEMIC ALTERNATIVE EDUCATI,146902,DAYTON ISD,4,146,LIBERTY COUNTY,8,0,-9999999,0,0,0,-9999999,0,8,0,0,0,-9999999
STATE,CAMPUS,2014-2015,139911102,AARON PARKER EL,139911,NORTH LAMAR ISD,8,139,LAMAR COUNTY,244,15,0,-9999999,0,-9999999,166,244,98,-9999999,6,30,13
STATE,CAMPUS,2014-2015,43914042,AB HARRISON INT,43914,WYLIE ISD,10,43,COLLIN COUNTY,658,76,0,37,0,37,196,0,201,14,0,92,47
STATE,CAMPUS,2014-2015,57909143,ABBETT EL,57909,GARLAND ISD,10,57,DALLAS COUNTY,682,28,0,132,107,22,249,682,250,8,0,39,5
STATE,CAMPUS,2014-2015,109901001,ABBOTT SCHOOL,109901,ABBOTT ISD,12,109,HILL COUNTY,264,7,96,-9999999,0,-9999999,59,263,69,0,0,22,-9999999
STATE,CAMPUS,2014-2015,165901047,ABELL J H,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,1012,91,391,104,0,98,405,1012,567,8,0,62,41
STATE,CAMPUS,2014-2015,95901003,ABERNATHY DAEP,95901,ABERNATHY ISD,17,95,HALE COUNTY,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,0,0
STATE,CAMPUS,2014-2015,95901101,ABERNATHY EL,95901,ABERNATHY ISD,17,95,HALE COUNTY,369,43,0,14,0,14,225,369,185,9,0,29,8
STATE,CAMPUS,2014-2015,95901001,ABERNATHY H S,95901,ABERNATHY ISD,17,95,HALE COUNTY,210,19,208,-9999999,0,-9999999,91,209,95,-9999999,0,24,7
STATE,CAMPUS,2014-2015,95901041,ABERNATHY J H,95901,ABERNATHY ISD,17,95,HALE COUNTY,199,17,0,-9999999,0,-9999999,102,199,108,-9999999,0,16,6
